stress,hapiness,attitude,sub_norm,control,intention,result
22,12,46,14,7,5,No
36,16,29,36,12,6,No
33,18,13,35,12,1,No
28,10,37,6,8,4,No
35,9,95,42,13,6,No
36,9,36,30,7,3,No
30,16,67,14,12,4,No
34,17,4,12,13,2,No
26,11,79,35,4,4,No
32,7,58,16,8,4,Yes
25,7,41,44,10,6,Yes
28,10,30,40,4,6,No
27,15,34,35,4,3,No
27,18,18,26,13,4,No
36,17,93,39,4,5,No
34,12,81,28,10,6,No
32,15,45,15,9,5,No
27,14,12,10,13,4,No
35,9,51,19,8,1,No
28,18,99,47,14,5,No
36,12,71,4,7,3,No
25,8,88,26,10,3,Yes
22,10,77,3,5,4,No
22,13,36,33,14,5,Yes
30,13,43,40,3,6,No
35,8,82,29,10,6,No
24,13,32,44,10,5,Yes
30,11,40,3,8,4,No
33,11,68,44,10,4,No
36,16,44,38,6,2,No
35,16,70,11,5,4,No
32,11,14,12,7,4,Yes
23,18,96,18,8,1,Yes
22,11,88,20,8,1,Yes
22,12,54,10,12,4,No
30,16,91,41,7,2,No
27,7,43,42,3,1,Yes
32,16,34,6,3,3,No
25,16,18,11,7,5,No
21,12,19,23,10,6,No
34,17,85,30,4,5,No
30,7,31,36,14,5,Yes
29,6,68,28,7,2,Yes
27,10,22,29,10,2,Yes
35,18,43,29,5,2,No
21,9,71,18,13,2,No
26,11,37,46,9,2,Yes
32,6,28,9,13,4,Yes
34,12,28,5,4,5,No
28,6,64,48,9,3,No
32,15,52,25,14,4,No
30,10,14,35,8,2,Yes
21,11,29,24,6,5,No
21,15,67,23,11,1,Yes
22,6,14,36,13,2,Yes
27,16,55,32,11,2,Yes
33,8,18,13,8,2,Yes
34,6,58,44,13,3,No
